n,instance,origin,destruction,fragments,method,baseline_cost,cost,improvement_pct
50,4,raw,longest,4,model_learned,5.533407211303711,6.953129967674613,-25.657297613497075
50,4,raw,longest,8,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,8,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,8,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,8,greedy_pair,5.533407211303711,5.81915501318872,-5.164047954057669
50,4,raw,longest,8,random_mean,5.533407211303711,8.51004341430962,-53.79391194859474
50,4,raw,longest,8,random_best,5.533407211303711,7.682116037234664,-38.83156875824257
50,4,raw,longest,8,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,8,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,12,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,12,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,12,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,12,greedy_pair,5.533407211303711,5.81915501318872,-5.164047954057669
50,4,raw,longest,12,random_mean,5.533407211303711,10.054567223414779,-81.70662016117642
50,4,raw,longest,12,random_best,5.533407211303711,9.451157039031386,-70.8017624245049
50,4,raw,longest,12,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,12,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,random_mean,5.533407211303711,6.675295880064368,-20.6362666826326
50,4,two_opt,longest,4,random_best,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,4,model_learned,5.533407211303711,6.953129967674613,-25.657297613497075
50,4,two_opt,longest,8,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,8,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,8,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,8,greedy_pair,5.533407211303711,5.81915501318872,-5.164047954057669
50,4,two_opt,longest,8,random_mean,5.533407211303711,8.51004341430962,-53.79391194859474
50,4,two_opt,longest,8,random_best,5.533407211303711,7.682116037234664,-38.83156875824257
50,4,two_opt,longest,8,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,8,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,12,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,12,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,12,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,12,greedy_pair,5.533407211303711,5.81915501318872,-5.164047954057669
50,4,two_opt,longest,12,random_mean,5.533407211303711,10.054567223414779,-81.70662016117642
50,4,two_opt,longest,12,random_best,5.533407211303711,9.451157039031386,-70.8017624245049
50,4,two_opt,longest,12,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,longest,12,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,5,raw,longest,4,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,random_mean,5.503448963165283,6.658174334093928,-20.98184935768915
50,5,raw,longest,4,random_best,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,4,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,random_mean,5.503448963165283,8.013283336535096,-45.60475422172887
50,5,raw,longest,8,random_best,5.503448963165283,7.50134913995862,-36.30269291430394
50,5,raw,longest,8,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,8,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,random_mean,5.503448963165283,9.448625037446618,-71.6855212192662
50,5,raw,longest,12,random_best,5.503448963165283,8.621478278189898,-56.65591406213921
50,5,raw,longest,12,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,longest,12,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,random_mean,5.503448963165283,6.658174334093928,-20.98184935768915
50,5,two_opt,longest,4,random_best,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,4,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,random_mean,5.503448963165283,8.013283336535096,-45.60475422172887
50,5,two_opt,longest,8,random_best,5.503448963165283,7.50134913995862,-36.30269291430394
50,5,two_opt,longest,8,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,8,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,random_mean,5.503448963165283,9.448625037446618,-71.6855212192662
50,5,two_opt,longest,12,random_best,5.503448963165283,8.621478278189898,-56.65591406213921
50,5,two_opt,longest,12,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,longest,12,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,6,raw,longest,4,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,greedy_pair,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,random_mean,6.003438949584961,7.177640130743384,-19.558809392733146
50,6,raw,longest,4,random_best,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,model_route,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,4,model_learned,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,8,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,8,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,8,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,longest,8,greedy_pair,6.003438949584961,7.428397158160806,-23.735699164132537
50,6,raw,longest,8,random_mean,6.003438949584961,8.979196792468429,-49.567553994851444
50,6,raw,longest,8,random_best,6.003438949584961,7.809457117691636,-30.08306044707145
