instance,stage,method,cost
16,20,source_once,5.717930753715336
16,20,endpoint_once,5.716704453341663
16,30,route,5.72804534714669
16,30,source_once,5.716704453341663
16,30,endpoint_once,5.72804534714669
17,4,route,5.612938895821571
17,4,source_once,5.612938895821571
17,4,endpoint_once,5.612938895821571
17,6,route,5.612938895821571
17,6,source_once,5.612938895821571
17,6,endpoint_once,5.612938895821571
17,8,route,5.612938895821571
17,8,source_once,5.612938895821571
17,8,endpoint_once,5.612938895821571
17,10,route,5.612938895821571
17,10,source_once,5.612938895821571
17,10,endpoint_once,5.612938895821571
17,15,route,5.612938895821571
17,15,source_once,5.612938895821571
17,15,endpoint_once,5.612938895821571
17,20,route,5.612938895821571
17,20,source_once,5.612938895821571
17,20,endpoint_once,5.612938895821571
17,30,route,5.612938895821571
17,30,source_once,5.612938895821571
17,30,endpoint_once,5.612938895821571
18,4,route,5.809258456341922
18,4,source_once,5.809258456341922
18,4,endpoint_once,5.809258456341922
18,6,route,5.809258456341922
18,6,source_once,5.809258456341922
18,6,endpoint_once,5.809258456341922
18,8,route,5.809258456341922
18,8,source_once,5.809258456341922
18,8,endpoint_once,5.809258456341922
18,10,route,5.809258456341922
18,10,source_once,5.809258456341922
18,10,endpoint_once,5.809258456341922
18,15,route,5.809258456341922
18,15,source_once,5.809258456341922
18,15,endpoint_once,5.809258456341922
18,20,route,5.809258456341922
18,20,source_once,5.809258456341922
18,20,endpoint_once,5.809258456341922
18,30,route,5.809258456341922
18,30,source_once,5.809258456341922
18,30,endpoint_once,5.809258456341922
19,4,route,5.574154986999929
19,4,source_once,5.574154986999929
19,4,endpoint_once,5.574154986999929
19,6,route,5.574154986999929
19,6,source_once,5.574154986999929
19,6,endpoint_once,5.574154986999929
19,8,route,5.574154986999929
19,8,source_once,5.574154986999929
19,8,endpoint_once,5.574154986999929
19,10,route,5.574154986999929
19,10,source_once,5.574154986999929
19,10,endpoint_once,5.574154986999929
19,15,route,5.574154986999929
19,15,source_once,5.574154986999929
19,15,endpoint_once,5.574154986999929
19,20,route,5.574154986999929
19,20,source_once,5.574154986999929
19,20,endpoint_once,5.565343379043043
19,30,route,5.574154986999929
19,30,source_once,5.458759038709104
19,30,endpoint_once,5.574154986999929
20,4,route,6.031202709302306
20,4,source_once,6.030801197513938
20,4,endpoint_once,6.030801197513938
20,6,route,6.031202709302306
20,6,source_once,6.031202709302306
20,6,endpoint_once,6.031202709302306
20,8,route,6.031202709302306
20,8,source_once,6.031202709302306
20,8,endpoint_once,6.031202709302306
20,10,route,6.031202709302306
20,10,source_once,6.031202709302306
20,10,endpoint_once,6.031202709302306
20,15,route,6.031202709302306
20,15,source_once,6.030801197513938
20,15,endpoint_once,6.031202709302306
20,20,route,6.031202709302306
20,20,source_once,6.029847988858819
20,20,endpoint_once,6.031202709302306
20,30,route,6.031202709302306
20,30,source_once,6.004732729867101
20,30,endpoint_once,6.031202709302306
21,4,route,5.826739287003875
21,4,source_once,5.826739287003875
21,4,endpoint_once,5.826739287003875
21,6,route,5.826739287003875
21,6,source_once,5.826739287003875
21,6,endpoint_once,5.826739287003875
21,8,route,5.826739287003875
21,8,source_once,5.826739287003875
21,8,endpoint_once,5.826739287003875
21,10,route,5.826739287003875
21,10,source_once,5.826739287003875
21,10,endpoint_once,5.826739287003875
21,15,route,5.826739287003875
21,15,source_once,5.826739287003875
21,15,endpoint_once,5.826739287003875
21,20,route,5.826739287003875
21,20,source_once,5.826739287003875
21,20,endpoint_once,5.826739287003875
21,30,route,5.826739287003875
21,30,source_once,5.826739287003875
21,30,endpoint_once,5.826739287003875
22,4,route,5.774594833143055
