n,instance,method,cost,source_deviations,endpoint_deviations
50,50,endpoint_once,5.516734378412366,6,0
50,50,endpoint_repeated,5.516734378412366,6,0
50,51,route,5.880047395825386,4,0
50,51,source_once,5.880047395825386,4,0
50,51,source_repeated,5.880047395825386,4,0
50,51,endpoint_once,5.880047395825386,4,0
50,51,endpoint_repeated,5.880047395825386,4,0
50,52,route,5.7636953080073,6,0
50,52,source_once,5.7636953080073,6,0
50,52,source_repeated,5.7636953080073,6,0
50,52,endpoint_once,5.7636953080073,6,0
50,52,endpoint_repeated,5.7636953080073,6,0
50,53,route,5.8019939246587455,7,1
50,53,source_once,5.8019939246587455,7,1
50,53,source_repeated,5.8019939246587455,7,1
50,53,endpoint_once,5.8019939246587455,7,1
50,53,endpoint_repeated,5.787575158756226,7,1
50,54,route,6.043575416319072,6,0
50,54,source_once,6.043575416319072,6,0
50,54,source_repeated,6.043575416319072,6,0
50,54,endpoint_once,6.043575416319072,6,0
50,54,endpoint_repeated,6.043575416319072,6,0
50,55,route,5.944425887428224,2,1
50,55,source_once,5.944425887428224,2,1
50,55,source_repeated,5.907007775269449,2,1
50,55,endpoint_once,5.944425887428224,2,1
50,55,endpoint_repeated,5.942145257256925,2,1
50,56,route,6.000479305163026,5,1
50,56,source_once,5.999150304123759,5,1
50,56,source_repeated,5.999150304123759,5,1
50,56,endpoint_once,6.000479305163026,5,1
50,56,endpoint_repeated,5.999150304123759,5,1
50,57,route,6.076591711491346,5,0
50,57,source_once,6.076591711491346,5,0
50,57,source_repeated,6.076591711491346,5,0
50,57,endpoint_once,6.076591711491346,5,0
50,57,endpoint_repeated,6.076591711491346,5,0
50,58,route,5.782022589817643,5,2
50,58,source_once,5.782022589817643,5,2
50,58,source_repeated,5.782022589817643,5,2
50,58,endpoint_once,5.782022589817643,5,2
50,58,endpoint_repeated,5.629068927839398,5,2
50,59,route,5.698915733024478,6,0
50,59,source_once,5.698915733024478,6,0
50,59,source_repeated,5.698915733024478,6,0
50,59,endpoint_once,5.698915733024478,6,0
50,59,endpoint_repeated,5.698915733024478,6,0
50,60,route,5.5171114932745695,5,0
50,60,source_once,5.5171114932745695,5,0
50,60,source_repeated,5.5171114932745695,5,0
50,60,endpoint_once,5.5171114932745695,5,0
50,60,endpoint_repeated,5.5171114932745695,5,0
50,61,route,6.226005341857672,5,0
50,61,source_once,6.226005341857672,5,0
50,61,source_repeated,6.226005341857672,5,0
50,61,endpoint_once,6.226005341857672,5,0
50,61,endpoint_repeated,6.226005341857672,5,0
50,62,route,5.895721973851323,3,0
50,62,source_once,5.895721973851323,3,0
50,62,source_repeated,5.895721973851323,3,0
50,62,endpoint_once,5.895721973851323,3,0
50,62,endpoint_repeated,5.895721973851323,3,0
50,63,route,5.859236846677959,5,2
