n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,5,raw,4,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,random_mean,5.503448963165283,6.55503922700882,-19.107840753713816
50,5,raw,4,random_best,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,random_mean,5.503448963165283,9.774697814602405,-77.61040176850359
50,5,raw,8,random_best,5.503448963165283,8.387376787140965,-52.402190758520355
50,5,raw,8,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,8,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,random_mean,5.503448963165283,11.33961135824211,-106.04554406043196
50,5,raw,12,random_best,5.503448963165283,10.436713146045804,-89.63950090023505
50,5,raw,12,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,12,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
